1834;11;1834.874;  50.9;  9.1;   15;1
1834;12;1834.958;  57.5;  9.6;   15;1
1835;01;1835.042;  12.4;  4.7;   22;1
1835;02;1835.123;  40.7;  8.1;   15;1
1835;03;1835.204;  32.7;  7.3;   18;1
1835;04;1835.288; 102.4; 12.8;   14;1
1835;05;1835.371;  72.6; 10.8;   22;1
1835;06;1835.455;  55.2;  9.4;   17;1
1835;07;1835.538;  99.6; 12.7;   13;1
1835;08;1835.623;  98.5; 12.6;    2;1
1835;09;1835.707; 168.0; 16.4;   11;1
1835;10;1835.790; 158.6; 16.0;   16;1
1835;11;1835.874; 166.7; 16.4;   15;1
1835;12;1835.958; 129.3; 14.4;    8;1
1836;01;1836.042; 147.6; 15.4;   17;1
1836;02;1836.124; 179.4; 17.0;   14;1
1836;03;1836.206; 163.7; 16.2;   12;1
1836;04;1836.290; 238.0; 19.6;   16;1
1836;05;1836.373; 185.7; 17.3;   23;1
1836;06;1836.456; 207.9; 18.3;   15;1
1836;07;1836.540; 194.6; 17.7;   15;1
1836;08;1836.624; 179.6; 17.0;   16;1
1836;09;1836.708; 158.5; 16.0;   12;1
1836;10;1836.791; 228.9; 19.2;   11;1
1836;11;1836.874; 201.5; 18.0;   11;1
1836;12;1836.958; 343.8; 23.5;    4;1
1837;01;1837.042; 313.4; 22.4;   10;1
1837;02;1837.123; 292.6; 21.7;   13;1
1837;03;1837.204; 224.3; 19.0;   12;1
1837;04;1837.288; 230.3; 19.2;   10;1
1837;05;1837.371; 186.1; 17.3;   15;1
1837;06;1837.455; 263.4; 20.6;   18;1
1837;07;1837.538; 271.2; 20.9;    9;1
1837;08;1837.623; 223.5; 18.9;   11;1
1837;09;1837.707; 160.4; 16.1;   19;1
1837;10;1837.790; 206.2; 18.2;   18;1
1837;11;1837.874; 178.4; 16.9;    7;1
1837;12;1837.958; 216.1; 18.6;    8;1
1838;01;1838.042; 241.5; 19.7;   11;1
1838;02;1838.123; 141.3; 15.1;   18;1
1838;03;1838.204; 234.5; 19.4;   12;1
1838;04;1838.288; 211.1; 18.4;   16;1
1838;05;1838.371; 229.4; 19.2;   20;1
1838;06;1838.455; 157.6; 15.9;   19;1
1838;07;1838.538; 180.4; 17.0;   21;1
1838;08;1838.623; 131.3; 14.5;   15;1
1838;09;1838.707; 122.7; 14.0;   23;1
1838;10;1838.790; 151.5; 15.6;   16;1
1838;11;1838.874; 129.2; 14.4;   16;1
1838;12;1838.958; 132.9; 14.6;   14;1
1839;01;1839.042; 175.9; 16.8;   15;1
1839;02;1839.123; 170.8; 16.6;   12;1
1839;03;1839.204; 129.5; 14.4;   15;1
1839;04;1839.288; 102.9; 12.9;   14;1
1839;05;1839.371;  89.6; 12.0;   22;1
1839;06;1839.455;  91.2; 12.1;   20;1
1839;07;1839.538; 141.3; 15.1;   25;1
1839;08;1839.623; 218.8; 18.7;   17;1
1839;09;1839.707; 221.1; 18.8;   18;1
1839;10;1839.790; 151.5; 15.6;   16;1
1839;11;1839.874; 114.7; 13.6;   11;1
1839;12;1839.958; 106.2; 13.1;    9;1
1840;01;1840.042; 135.4; 14.7;   18;1
1840;02;1840.124; 146.1; 15.3;   14;1
1840;03;1840.206; 112.9; 13.5;   18;1
1840;04;1840.290; 109.8; 13.3;   21;1
1840;05;1840.373; 115.4; 13.6;   22;1
1840;06;1840.456;  80.9; 11.4;   27;1
1840;07;1840.540; 101.0; 12.7;   23;1
1840;08;1840.624;  96.4; 12.4;   24;1
1840;09;1840.708; 123.3; 14.1;   20;1
1840;10;1840.791;  91.7; 12.1;   19;1
1840;11;1840.874;  90.4; 12.0;   20;1
1840;12;1840.958;  89.5; 12.0;   22;1
1841;01;1841.042;  40.1;  8.1;   15;1
1841;02;1841.123;  49.9;  8.9;   20;1
1841;03;1841.204;  49.6;  8.9;   22;1
1841;04;1841.288;  66.9; 10.4;   28;1
1841;05;1841.371; 112.4; 13.5;   27;1
1841;06;1841.455;  92.8; 12.2;   24;1
1841;07;1841.538;  51.4;  9.1;   27;1
1841;08;1841.623;  65.4; 10.3;   28;1
1841;09;1841.707;  60.9;  9.9;   28;1
1841;10;1841.790;  47.4;  8.7;   19;1
1841;11;1841.874;  32.9;  7.3;   20;1
1841;12;1841.958;  64.8; 10.2;   19;1
1842;01;1842.042;  34.0;  7.5;   20;1
1842;02;1842.123;  36.8;  7.8;   22;1
